GrkSortIncl	OGNT	N1904
601	συναγαγὼν	συναγαγὼν
602	πάντας	πάντας
603	τοὺς	τοὺς
604	ἀρχιερεῖς	ἀρχιερεῖς
605	καὶ	καὶ
606	γραμματεῖς	γραμματεῖς
607	τοῦ	τοῦ
608	λαοῦ	λαοῦ
609	ἐπυνθάνετο	ἐπυνθάνετο
610	παρ᾽	παρ᾽
611	αὐτῶν	αὐτῶν
612	ποῦ	ποῦ
613	ὁ	ὁ
614	Χριστὸς	Χριστὸς
615	γεννᾶται	γεννᾶται.
620	Οἱ	Οἱ
621	δὲ	δὲ
622	εἶπαν	εἶπαν
623	αὐτῷ	αὐτῷ·
624	Ἐν	“Ἐν
625	Βηθλέεμ	Βηθλέεμ
626	τῆς	τῆς
627	Ἰουδαίας	Ἰουδαίας·
628	οὕτως	οὕτως
629	γὰρ	γὰρ
630	γέγραπται	γέγραπται
631	διὰ	διὰ
632	τοῦ	τοῦ
633	προφήτου	προφήτου·
638	Καὶ	‘Καὶ
639	σύ	σύ,
640	Βηθλέεμ	Βηθλέεμ
641	γῆ	γῆ
642	Ἰούδα	Ἰούδα,
643	οὐδαμῶς	οὐδαμῶς
644	ἐλαχίστη	ἐλαχίστη
645	εἶ	εἶ
646	ἐν	ἐν
647	τοῖς	τοῖς
648	ἡγεμόσιν	ἡγεμόσιν
649	Ἰούδα	Ἰούδα·
650	ἐκ	ἐκ
651	σοῦ	σοῦ
652	γὰρ	γὰρ
653	ἐξελεύσεται	ἐξελεύσεται
654	ἡγούμενος	ἡγούμενος,
655	ὅστις	ὅστις
656	ποιμανεῖ	ποιμανεῖ
657	τὸν	τὸν
658	λαόν	λαόν
659	μου	μου
660	τὸν	τὸν
661	Ἰσραήλ	Ἰσραήλ.᾽
666	Τότε	Τότε
667	Ἡρῴδης	Ἡρῴδης
668	λάθρᾳ	λάθρᾳ
669	καλέσας	καλέσας
670	τοὺς	τοὺς
671	μάγους	μάγους
672	ἠκρίβωσεν	ἠκρίβωσεν
673	παρ᾽	παρ᾽
674	αὐτῶν	αὐτῶν
675	τὸν	τὸν
676	χρόνον	χρόνον
677	τοῦ	τοῦ
678	φαινομένου	φαινομένου
679	ἀστέρος	ἀστέρος,
684	καὶ	καὶ
685	πέμψας	πέμψας
686	αὐτοὺς	αὐτοὺς
687	εἰς	εἰς
688	Βηθλέεμ	Βηθλέεμ
689	εἶπεν	εἶπεν·
690	Πορευθέντες	“Πορευθέντες
691	ἐξετάσατε	ἐξετάσατε
692	ἀκριβῶς	ἀκριβῶς
693	περὶ	περὶ
694	τοῦ	τοῦ
695	παιδίου	παιδίου·
696	ἐπὰν	ἐπὰν
697	δὲ	δὲ
698	εὕρητε	εὕρητε,
699	ἀπαγγείλατέ	ἀπαγγείλατέ
700	μοι	μοι,
701	ὅπως	ὅπως
702	κἀγὼ	κἀγὼ
703	ἐλθὼν	ἐλθὼν
704	προσκυνήσω	προσκυνήσω
705	αὐτῷ	αὐτῷ.
710	Οἱ	Οἱ
711	δὲ	δὲ
712	ἀκούσαντες	ἀκούσαντες
713	τοῦ	τοῦ
714	βασιλέως	βασιλέως
715	ἐπορεύθησαν	ἐπορεύθησαν·
716	καὶ	καὶ
717	ἰδοὺ	ἰδοὺ
718	ὁ	ὁ
719	ἀστὴρ	ἀστὴρ,
720	ὃν	ὃν
721	εἶδον	εἶδον
722	ἐν	ἐν
723	τῇ	τῇ
724	ἀνατολῇ	ἀνατολῇ,
725	προῆγεν	προῆγεν
726	αὐτούς	αὐτούς
727	ἕως	ἕως
728	ἐλθὼν	ἐλθὼν
729	ἐστάθη	ἐστάθη
730	ἐπάνω	ἐπάνω
731	οὗ	οὗ
732	ἦν	ἦν
733	τὸ	τὸ
734	παιδίον	παιδίον.
739	ἰδόντες	ἰδόντες
740	δὲ	δὲ
741	τὸν	τὸν
742	ἀστέρα	ἀστέρα
743	ἐχάρησαν	ἐχάρησαν
