FEATURESsort1	OGNTsort	NA27id
000796	000796	40.2.18!16
000797	000797	40.2.18!17
000798	000798	40.2.18!18
000799	000799	40.2.18!19
000800	000800	40.2.18!20
000801	000801	40.2.19!1
000802	000802	40.2.19!2
000803	000803	40.2.19!3
000804	000804	40.2.19!4
000805	000805	40.2.19!5
000806	000806	40.2.19!6
000807	000807	40.2.19!7
000808	000808	40.2.19!8
000809	000809	40.2.19!9
000810	000810	40.2.19!10
000811	000811	40.2.19!11
000812	000812	40.2.19!12
000813	000813	40.2.19!13
000814	000814	40.2.19!14
000815	000815	40.2.20!1
000816	000816	40.2.20!2
000817	000817	40.2.20!3
000818	000818	40.2.20!4
000819	000819	40.2.20!5
000820	000820	40.2.20!6
000821	000821	40.2.20!7
000822	000822	40.2.20!8
000823	000823	40.2.20!9
000824	000824	40.2.20!10
000825	000825	40.2.20!11
000826	000826	40.2.20!12
000827	000827	40.2.20!13
000828	000828	40.2.20!14
000829	000829	40.2.20!15
000830	000830	40.2.20!16
000831	000831	40.2.20!17
000832	000832	40.2.20!18
000833	000833	40.2.20!19
000834	000834	40.2.20!20
000835	000835	40.2.20!21
000836	000836	40.2.20!22
000837	000837	40.2.21!1
000838	000838	40.2.21!2
000839	000839	40.2.21!3
000840	000840	40.2.21!4
000841	000841	40.2.21!5
000842	000842	40.2.21!6
000843	000843	40.2.21!7
000844	000844	40.2.21!8
000845	000845	40.2.21!9
000846	000846	40.2.21!10
000847	000847	40.2.21!11
000848	000848	40.2.21!12
000849	000849	40.2.21!13
000850	000850	40.2.21!14
000851	000851	40.2.21!15
000852	000852	40.2.22!1
000853	000853	40.2.22!2
000854	000854	40.2.22!3
000855	000855	40.2.22!4
000856	000856	40.2.22!5
000857	000857	40.2.22!6
000858	000858	40.2.22!7
000859	000859	40.2.22!8
000860	000860	40.2.22!9
000861	000861	40.2.22!10
000862	000862	40.2.22!11
000863	000863	40.2.22!12
000864	000864	40.2.22!13
000865	000865	40.2.22!14
000866	000866	40.2.22!15
000867	000867	40.2.22!16
000868	000868	40.2.22!17
000869	000869	40.2.22!18
000870	000870	40.2.22!19
000871	000871	40.2.22!20
000872	000872	40.2.22!21
000873	000873	40.2.22!22
000874	000874	40.2.22!23
000875	000875	40.2.22!24
000876	000876	40.2.22!25
000877	000877	40.2.23!1
000878	000878	40.2.23!2
000879	000879	40.2.23!3
000880	000880	40.2.23!4
000881	000881	40.2.23!5
000882	000882	40.2.23!6
000883	000883	40.2.23!7
000884	000884	40.2.23!8
000885	000885	40.2.23!9
000886	000886	40.2.23!10
000887	000887	40.2.23!11
000888	000888	40.2.23!12
000889	000889	40.2.23!13
000890	000890	40.2.23!14
000891	000891	40.2.23!15
000892	000892	40.2.23!16
000893	000893	40.2.23!17
000894	000894	40.3.1!1
000895	000895	40.3.1!2
000896	000896	40.3.1!3
000897	000897	40.3.1!4
000898	000898	40.3.1!5
000899	000899	40.3.1!6
000900	000900	40.3.1!7
000901	000901	40.3.1!8
000902	000902	40.3.1!9
000903	000903	40.3.1!10
000904	000904	40.3.1!11
000905	000905	40.3.1!12
000906	000906	40.3.1!13
000907	000907	40.3.1!14
000908	000908	40.3.1!15
000909	000909	40.3.2!1
000910	000910	40.3.2!2
000911	000911	40.3.2!3
000912	000912	40.3.2!4
000913	000913	40.3.2!5
000914	000914	40.3.2!6
000915	000915	40.3.2!7
000916	000916	40.3.2!8
000917	000917	40.3.2!9
000918	000918	40.3.3!1
000919	000919	40.3.3!2
000920	000920	40.3.3!3
000921	000921	40.3.3!4
000922	000922	40.3.3!5
000923	000923	40.3.3!6
000924	000924	40.3.3!7
000925	000925	40.3.3!8
000926	000926	40.3.3!9
000927	000927	40.3.3!10
000928	000928	40.3.3!11
000929	000929	40.3.3!12
000930	000930	40.3.3!13
000931	000931	40.3.3!14
000932	000932	40.3.3!15
000933	000933	40.3.3!16
000934	000934	40.3.3!17
000935	000935	40.3.3!18
000936	000936	40.3.3!19
000937	000937	40.3.3!20
000938	000938	40.3.3!21
000939	000939	40.3.3!22
000940	000940	40.3.3!23
000941	000941	40.3.3!24
000942	000942	40.3.4!1
000943	000943	40.3.4!2
000944	000944	40.3.4!3
000945	000945	40.3.4!4
000946	000946	40.3.4!5
000947	000947	40.3.4!6
000948	000948	40.3.4!7
000949	000949	40.3.4!8
000950	000950	40.3.4!9
000951	000951	40.3.4!10
000952	000952	40.3.4!11
000953	000953	40.3.4!12
000954	000954	40.3.4!13
000955	000955	40.3.4!14
000956	000956	40.3.4!15
000957	000957	40.3.4!16
000958	000958	40.3.4!17
000959	000959	40.3.4!18
000960	000960	40.3.4!19
000961	000961	40.3.4!20
000962	000962	40.3.4!21
000963	000963	40.3.4!22
000964	000964	40.3.4!23
000965	000965	40.3.4!24
000966	000966	40.3.4!25
000967	000967	40.3.4!26
000968	000968	40.3.4!27
000969	000969	40.3.5!1
000970	000970	40.3.5!2
000971	000971	40.3.5!3
000972	000972	40.3.5!4
000973	000973	40.3.5!5
000974	000974	40.3.5!6
000975	000975	40.3.5!7
000976	000976	40.3.5!8
000977	000977	40.3.5!9
000978	000978	40.3.5!10
000979	000979	40.3.5!11
000980	000980	40.3.5!12
000981	000981	40.3.5!13
000982	000982	40.3.5!14
000983	000983	40.3.5!15
000984	000984	40.3.6!1
000985	000985	40.3.6!2
000986	000986	40.3.6!3
000987	000987	40.3.6!4
000988	000988	40.3.6!5
000989	000989	40.3.6!6
000990	000990	40.3.6!7
000991	000991	40.3.6!8
000992	000992	40.3.6!9
