OGNTsort	book	chapter	verse	〈StrongNo｜AlternateStrongNo〉
125054	61	3	16	〈G5613｜〉
125055	61	3	16	〈G2532｜〉
125056	61	3	16	〈G3588｜〉
125057	61	3	16	〈G3062｜〉
125058	61	3	16	〈G1124｜〉
125059	61	3	16	〈G4314｜〉
125060	61	3	16	〈G3588｜〉
125061	61	3	16	〈G2398｜〉
125062	61	3	16	〈G846｜〉
125063	61	3	16	〈G684｜〉
125064	61	3	17	〈G4771｜〉
125065	61	3	17	〈G3767｜〉
125066	61	3	17	〈G27｜〉
125067	61	3	17	〈G4267｜〉
125068	61	3	17	〈G5442｜〉
125069	61	3	17	〈G2443｜〉
125070	61	3	17	〈G3361｜〉
125071	61	3	17	〈G3588｜〉
125072	61	3	17	〈G3588｜〉
125073	61	3	17	〈G113｜〉
125074	61	3	17	〈G4106｜〉
125075	61	3	17	〈G4879｜〉
125076	61	3	17	〈G1601｜〉
125077	61	3	17	〈G3588｜〉
125078	61	3	17	〈G2398｜〉
125079	61	3	17	〈G4740｜〉
125080	61	3	18	〈G837｜〉
125081	61	3	18	〈G1161｜〉
125082	61	3	18	〈G1722｜〉
125083	61	3	18	〈G5485｜〉
125084	61	3	18	〈G2532｜〉
125085	61	3	18	〈G1108｜〉
125086	61	3	18	〈G3588｜〉
125087	61	3	18	〈G2962｜〉
125088	61	3	18	〈G1473｜〉
125089	61	3	18	〈G2532｜〉
125090	61	3	18	〈G4990｜〉
125091	61	3	18	〈G2424｜〉
125092	61	3	18	〈G5547｜〉
125093	61	3	18	〈G846｜〉
125094	61	3	18	〈G3588｜〉
125095	61	3	18	〈G1391｜〉
125096	61	3	18	〈G2532｜〉
125097	61	3	18	〈G3568｜〉
125098	61	3	18	〈G2532｜〉
125099	61	3	18	〈G1519｜〉
125100	61	3	18	〈G2250｜〉
125101	61	3	18	〈G165｜〉
125102	62	1	1	〈G3739｜〉
125103	62	1	1	〈G1510｜〉
125104	62	1	1	〈G575｜〉
125105	62	1	1	〈G746｜〉
125106	62	1	1	〈G3739｜〉
125107	62	1	1	〈G191｜〉
125108	62	1	1	〈G3739｜〉
125109	62	1	1	〈G3708｜〉
125110	62	1	1	〈G3588｜〉
125111	62	1	1	〈G3788｜〉
125112	62	1	1	〈G1473｜〉
125113	62	1	1	〈G3739｜〉
125114	62	1	1	〈G2300｜〉
125115	62	1	1	〈G2532｜〉
125116	62	1	1	〈G3588｜〉
125117	62	1	1	〈G5495｜〉
125118	62	1	1	〈G1473｜〉
125119	62	1	1	〈G5584｜〉
125120	62	1	1	〈G4012｜〉
125121	62	1	1	〈G3588｜〉
125122	62	1	1	〈G3056｜〉
125123	62	1	1	〈G3588｜〉
125124	62	1	1	〈G2222｜〉
125125	62	1	2	〈G2532｜〉
125126	62	1	2	〈G3588｜〉
125127	62	1	2	〈G2222｜〉
125128	62	1	2	〈G5319｜〉
125129	62	1	2	〈G2532｜〉
125130	62	1	2	〈G3708｜〉
125131	62	1	2	〈G2532｜〉
125132	62	1	2	〈G3140｜〉
125133	62	1	2	〈G2532｜〉
125134	62	1	2	〈G518｜〉
125135	62	1	2	〈G4771｜〉
125136	62	1	2	〈G3588｜〉
125137	62	1	2	〈G2222｜〉
125138	62	1	2	〈G3588｜〉
125139	62	1	2	〈G166｜〉
125140	62	1	2	〈G3748｜〉
125141	62	1	2	〈G1510｜〉
125142	62	1	2	〈G4314｜〉
125143	62	1	2	〈G3588｜〉
125144	62	1	2	〈G3962｜〉
125145	62	1	2	〈G2532｜〉
125146	62	1	2	〈G5319｜〉
125147	62	1	2	〈G1473｜〉
125148	62	1	3	〈G3739｜〉
125149	62	1	3	〈G3708｜〉
125150	62	1	3	〈G2532｜〉
125151	62	1	3	〈G191｜〉
125152	62	1	3	〈G518｜〉
125153	62	1	3	〈G2532｜〉
125154	62	1	3	〈G4771｜〉
125155	62	1	3	〈G2443｜〉
125156	62	1	3	〈G2532｜〉
125157	62	1	3	〈G4771｜〉
125158	62	1	3	〈G2842｜〉
125159	62	1	3	〈G2192｜〉
125160	62	1	3	〈G3326｜〉
125161	62	1	3	〈G1473｜〉
125162	62	1	3	〈G2532｜〉
125163	62	1	3	〈G3588｜〉
125164	62	1	3	〈G2842｜〉
125165	62	1	3	〈G1161｜〉
125166	62	1	3	〈G3588｜〉
125167	62	1	3	〈G2251｜〉
125168	62	1	3	〈G3326｜〉
125169	62	1	3	〈G3588｜〉
125170	62	1	3	〈G3962｜〉
125171	62	1	3	〈G2532｜〉
125172	62	1	3	〈G3326｜〉
125173	62	1	3	〈G3588｜〉
125174	62	1	3	〈G5207｜〉
125175	62	1	3	〈G846｜〉
125176	62	1	3	〈G2424｜〉
125177	62	1	3	〈G5547｜〉
125178	62	1	4	〈G2532｜〉
125179	62	1	4	〈G3778｜〉
125180	62	1	4	〈G1125｜〉
125181	62	1	4	〈G1473｜〉
125182	62	1	4	〈G2443｜〉
125183	62	1	4	〈G3588｜〉
125184	62	1	4	〈G5479｜〉
125185	62	1	4	〈G1473｜〉
125186	62	1	4	〈G1510｜〉
125187	62	1	4	〈G4137｜〉
125188	62	1	5	〈G2532｜〉
125189	62	1	5	〈G1510｜〉
125190	62	1	5	〈G3778｜〉
125191	62	1	5	〈G3588｜〉
125192	62	1	5	〈G31｜〉
125193	62	1	5	〈G3739｜〉
125194	62	1	5	〈G191｜〉
125195	62	1	5	〈G575｜〉
125196	62	1	5	〈G846｜〉
125197	62	1	5	〈G2532｜〉
125198	62	1	5	〈G312｜〉
125199	62	1	5	〈G4771｜〉
125200	62	1	5	〈G3754｜〉
125201	62	1	5	〈G3588｜〉
125202	62	1	5	〈G2316｜〉
125203	62	1	5	〈G5457｜〉
125204	62	1	5	〈G1510｜〉
125205	62	1	5	〈G2532｜〉
125206	62	1	5	〈G4653｜〉
125207	62	1	5	〈G1722｜〉
125208	62	1	5	〈G846｜〉
125209	62	1	5	〈G3756｜〉
125210	62	1	5	〈G1510｜〉
125211	62	1	5	〈G3762｜〉
125212	62	1	6	〈G1437｜〉
125213	62	1	6	〈G2036｜〉
125214	62	1	6	〈G3754｜〉
125215	62	1	6	〈G2842｜〉
125216	62	1	6	〈G2192｜〉
