FEATURESsort1	OGNTsort	OpenTextWord_KEY
000532	000532	40.2.6.w15
000533	000533	40.2.6.w16
000534	000534	40.2.6.w17
000535	000535	40.2.6.w18
000536	000536	40.2.6.w19
000537	000537	40.2.6.w20
000538	000538	40.2.6.w21
000539	000539	40.2.6.w22
000540	000540	40.2.6.w23
000541	000541	40.2.6.w24
000542	000542	40.2.7.w1
000543	000543	40.2.7.w2
000544	000544	40.2.7.w3
000545	000545	40.2.7.w4
000546	000546	40.2.7.w5
000547	000547	40.2.7.w6
000548	000548	40.2.7.w7
000549	000549	40.2.7.w8
000550	000550	40.2.7.w9
000551	000551	40.2.7.w10
000552	000552	40.2.7.w11
000553	000553	40.2.7.w12
000554	000554	40.2.7.w13
000555	000555	40.2.7.w14
000556	000556	40.2.8.w1
000557	000557	40.2.8.w2
000558	000558	40.2.8.w3
000559	000559	40.2.8.w4
000560	000560	40.2.8.w5
000561	000561	40.2.8.w6
000562	000562	40.2.8.w7
000563	000563	40.2.8.w8
000564	000564	40.2.8.w9
000565	000565	40.2.8.w10
000566	000566	40.2.8.w11
000567	000567	40.2.8.w12
000568	000568	40.2.8.w13
000569	000569	40.2.8.w14
000570	000570	40.2.8.w15
000571	000571	40.2.8.w16
000572	000572	40.2.8.w17
000573	000573	40.2.8.w18
000574	000574	40.2.8.w19
000575	000575	40.2.8.w20
000576	000576	40.2.8.w21
000577	000577	40.2.8.w22
000578	000578	40.2.9.w1
000579	000579	40.2.9.w2
000580	000580	40.2.9.w3
000581	000581	40.2.9.w4
000582	000582	40.2.9.w5
000583	000583	40.2.9.w6
000584	000584	40.2.9.w7
000585	000585	40.2.9.w8
000586	000586	40.2.9.w9
000587	000587	40.2.9.w10
000588	000588	40.2.9.w11
000589	000589	40.2.9.w12
000590	000590	40.2.9.w13
000591	000591	40.2.9.w14
000592	000592	40.2.9.w15
000593	000593	40.2.9.w16
000594	000594	40.2.9.w17
000595	000595	40.2.9.w18
000596	000596	40.2.9.w19
000597	000597	40.2.9.w20
000598	000598	40.2.9.w21
000599	000599	40.2.9.w22
000600	000600	40.2.9.w23
000601	000601	40.2.9.w24
000602	000602	40.2.9.w25
000603	000603	40.2.10.w1
000604	000604	40.2.10.w2
000605	000605	40.2.10.w3
000606	000606	40.2.10.w4
000607	000607	40.2.10.w5
000608	000608	40.2.10.w6
000609	000609	40.2.10.w7
000610	000610	40.2.10.w8
000611	000611	40.2.11.w1
000612	000612	40.2.11.w2
000613	000613	40.2.11.w3
000614	000614	40.2.11.w4
000615	000615	40.2.11.w5
000616	000616	40.2.11.w6
000617	000617	40.2.11.w7
000618	000618	40.2.11.w8
000619	000619	40.2.11.w9
000620	000620	40.2.11.w10
000621	000621	40.2.11.w11
000622	000622	40.2.11.w12
000623	000623	40.2.11.w13
000624	000624	40.2.11.w14
000625	000625	40.2.11.w15
000626	000626	40.2.11.w16
000627	000627	40.2.11.w17
000628	000628	40.2.11.w18
000629	000629	40.2.11.w19
000630	000630	40.2.11.w20
000631	000631	40.2.11.w21
000632	000632	40.2.11.w22
000633	000633	40.2.11.w23
000634	000634	40.2.11.w24
000635	000635	40.2.11.w25
000636	000636	40.2.11.w26
000637	000637	40.2.11.w27
000638	000638	40.2.11.w28
000639	000639	40.2.11.w29
000640	000640	40.2.11.w30
000641	000641	40.2.12.w1
000642	000642	40.2.12.w2
000643	000643	40.2.12.w3
000644	000644	40.2.12.w4
000645	000645	40.2.12.w5
000646	000646	40.2.12.w6
000647	000647	40.2.12.w7
000648	000648	40.2.12.w8
000649	000649	40.2.12.w9
000650	000650	40.2.12.w10
000651	000651	40.2.12.w11
000652	000652	40.2.12.w12
000653	000653	40.2.12.w13
000654	000654	40.2.12.w14
000655	000655	40.2.12.w15
000656	000656	40.2.12.w16
000657	000657	40.2.13.w1
000658	000658	40.2.13.w2
000659	000659	40.2.13.w3
000660	000660	40.2.13.w4
000661	000661	40.2.13.w5
000662	000662	40.2.13.w6
000663	000663	40.2.13.w7
000664	000664	40.2.13.w8
000665	000665	40.2.13.w9
000666	000666	40.2.13.w10
000667	000667	40.2.13.w11
