BGBsort	Book	Chapter	Verse	Heading	Crossref
42057	42	5	36	The Patches and the Wineskins	『matthew｜9｜16｜Matthew 9:16-17』『mark｜2｜21｜Mark 2:21-22』
42152	42	6	1	The Lord of the Sabbath	『1_samuel｜21｜1｜1 Samuel 21:1-9』『matthew｜12｜1｜Matthew 12:1-8』『mark｜2｜23｜Mark 2:23-28』
42264	42	6	6	Jesus Heals on the Sabbath	『matthew｜12｜9｜Matthew 12:9-14』『mark｜3｜1｜Mark 3:1-6』
42403	42	6	12	The Twelve Apostles	『matthew｜10｜1｜Matthew 10:1-4』『mark｜3｜13｜Mark 3:13-19』
42499	42	6	17	Jesus Ministers to a Great Crowd	『matthew｜4｜23｜Matthew 4:23-25』
42573	42	6	20	The Beatitudes	『psalms｜1｜1｜Psalm 1:1-6』『matthew｜5｜3｜Matthew 5:3-12』
42673	42	6	24	Woes	『amos｜6｜1｜Amos 6:1-7』
42728	42	6	27	Love Your Enemies	『leviticus｜24｜17｜Leviticus 24:17-23』『matthew｜5｜38｜Matthew 5:38-48』
42929	42	6	37	Do Not Judge	『matthew｜7｜1｜Matthew 7:1-6』『romans｜14｜1｜Romans 14:1-12』
43088	42	6	43	A Tree and its Fruit	『matthew｜7｜15｜Matthew 7:15-23』『matthew｜12｜33｜Matthew 12:33-37』
43164	42	6	46	The House on the Rock	『matthew｜7｜24｜Matthew 7:24-27』
43274	42	7	1	The Faith of the Centurion	『matthew｜8｜5｜Matthew 8:5-13』『john｜4｜43｜John 4:43-54』
43500	42	7	11	Jesus Raises a Widow's Son	
43654	42	7	18	John's Inquiry	『matthew｜11｜1｜Matthew 11:1-6』
